date	rain	min_temp	max_temp
2025-05-03	0.0		
2025-05-04	0.0		
2025-05-05	19.5		
2025-06-26	1.5		
2025-06-27	2.9		
2025-06-29	2.5		
2025-06-30	0.0		
2025-07-01	0.0		
2025-07-03	0.0		
2025-07-05	0.0		
2025-07-06	0.6		
2025-07-07	0.0		
2025-07-08	0.0		
2025-07-09	0.0		
2025-07-10	0.0		
2025-07-11	0.0		
2025-07-12	0.6		
2025-07-13	0.9		
2025-07-14	0.0		
2025-07-15	0.0		
2025-07-16	0.0		
2025-07-17	4.6		
2025-07-18	0.0		
2025-07-19	6.4		
2025-07-20	1.7		
2025-07-21	19.0		
2025-07-22	21.1		
2025-07-24	28.4		
2025-07-25	1.2		
2025-07-26	4.8		
2025-07-29	0.0		
2025-07-30	0.0		
2025-07-31	0.0		
2025-08-01	0.0		
2025-08-02	2.0		
2025-08-03	0.0		
2025-08-04	33.3		
2025-08-05	0.0		
2025-08-07	0.0		
2025-08-08	0.0		
2025-08-09	0.0		
2025-08-10	0.0		
2025-08-11	0.0		
2025-08-12	10.0		
2025-08-13	3.6		
2025-08-14	0.0		
2025-08-15	3.6		
2025-08-16	3.0		
2025-08-17	3.1		
2025-08-18	11.0		
2025-08-19	0.0		
2025-08-20	0.0		
2025-08-21	0.0		
2025-08-22	0.0		
2025-08-23	0.0		
2025-08-24	0.0		
2025-08-25	0.0		
2025-08-26	0.0		
2025-08-27	0.0		
2025-08-28	3.2		
2025-08-29	0.0		
2025-09-06	0.0		
2025-09-07	0.0		
2025-09-08	0.0		
2025-09-09	4.5		
2025-09-10	3.1		
2025-09-11	0.0		
2025-09-12	0.0		
2025-09-13	0.0		
2025-09-14	0.0		
2025-09-15	0.0		
2025-09-16	0.0		
2025-09-17	0.0		
2025-09-19	6.9		
2025-09-20	3.6		
2025-09-21	0.0		
2025-09-22	3.7		
2025-09-23	3.7		
2025-09-24	0.0		
